,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
352,1.0,0.6,52,0,0,1.0
353,1.0,0.6,53,1,1,6.077163357286274e-64
354,1.0,0.6,54,1,0,0.9999999999999997
355,1.0,0.6,55,0,0,1.0
356,1.0,0.6,56,1,1,1.5407439555097887e-33
357,1.0,0.6,57,0,0,1.5407439555097887e-33
358,1.0,0.6,58,0,0,1.0
359,1.0,0.6,59,0,0,1.0
360,1.0,0.6,60,0,1,1.604750949033406e-63
361,1.0,0.6,61,1,0,3.79822709830392e-65
362,1.0,0.6,62,0,0,4.588244867510761e-34
363,1.0,0.6,63,0,0,1.0
364,1.0,0.6,64,0,0,2.294122433755385e-34
365,1.0,0.6,65,1,0,3.4184043884735275e-64
366,1.0,0.6,66,1,0,0.9275362318840578
367,1.0,0.6,67,0,1,0.0
368,1.0,0.6,68,0,0,1.0
369,1.0,0.6,69,0,0,1.0
370,1.0,0.6,70,1,1,0.0
371,1.0,0.6,71,0,0,1.0
372,1.0,0.6,72,1,1,1.0
373,1.0,0.6,73,1,1,0.07547169811320759
374,1.0,0.6,74,1,1,6.162975822039155e-33
375,1.0,0.6,75,0,0,1.0
376,1.0,0.6,76,0,1,0.9999999999999998
377,1.0,0.6,77,1,1,1.0
378,1.0,0.6,78,0,1,1.0
379,1.0,0.6,79,1,0,0.0
380,1.0,0.6,80,0,0,3.62527989531715e-34
381,1.0,0.6,81,1,1,0.8596491228070173
382,1.0,0.6,82,1,1,0.5000000000000002
383,1.0,0.6,83,0,0,6.077163357286274e-64
384,1.0,0.6,84,0,0,1.0
385,1.0,0.6,85,1,0,0.02941176470588239
386,1.0,0.6,86,1,0,0.0
387,1.0,0.6,87,1,0,1.0163224852883539e-63
388,1.0,0.6,88,1,1,1.0
389,1.0,0.6,89,1,0,0.0
390,1.0,0.6,90,1,1,1.0
391,1.0,0.6,91,1,0,1.095640146140294e-34
392,1.0,0.6,92,0,0,0.09999999999999992
393,1.0,0.6,93,1,0,4.652828195422302e-64
394,1.0,0.6,94,0,0,6.077163357286274e-64
395,1.0,0.6,95,0,0,0.047058823529411736
396,1.0,0.6,96,0,1,1.0
397,1.0,0.6,97,1,0,0.8
398,1.0,0.6,98,1,1,1.0
399,1.0,0.6,99,0,1,0.0
400,1.0,0.8,0,1,1,1.0
401,1.0,0.8,1,1,1,1.0
402,1.0,0.8,2,0,0,1.0
403,1.0,0.8,3,1,1,0.0
404,1.0,0.8,4,0,0,1.0
405,1.0,0.8,5,0,0,0.0
406,1.0,0.8,6,0,1,0.0
407,1.0,0.8,7,0,1,0.9999999999999997
408,1.0,0.8,8,0,0,0.0
409,1.0,0.8,9,1,0,0.0
410,1.0,0.8,10,1,1,1.0
411,1.0,0.8,11,1,1,0.9999999999999997
412,1.0,0.8,12,0,0,0.9999999999999997
413,1.0,0.8,13,0,0,1.0
414,1.0,0.8,14,1,1,1.0
415,1.0,0.8,15,0,0,1.0
416,1.0,0.8,16,1,1,1.0
417,1.0,0.8,17,0,0,1.0
418,1.0,0.8,18,0,1,3.081487911019578e-33
419,1.0,0.8,19,0,0,1.0
420,1.0,0.8,20,0,0,1.0
421,1.0,0.8,21,0,0,1.0
422,1.0,0.8,22,1,1,0.0
423,1.0,0.8,23,0,0,0.0
424,1.0,0.8,24,0,0,0.0
425,1.0,0.8,25,0,0,0.0
426,1.0,0.8,26,0,0,1.0
427,1.0,0.8,27,0,0,1.0
428,1.0,0.8,28,1,1,0.0
429,1.0,0.8,29,0,0,1.0
430,1.0,0.8,30,0,0,0.0
431,1.0,0.8,31,1,1,1.0
432,1.0,0.8,32,0,0,1.0
433,1.0,0.8,33,0,0,0.0
434,1.0,0.8,34,1,0,6.077163357286273e-64
435,1.0,0.8,35,1,1,0.0
436,1.0,0.8,36,1,1,1.0
437,1.0,0.8,37,0,1,6.077163357286273e-64
438,1.0,0.8,38,1,0,1.0
439,1.0,0.8,39,1,1,0.0
440,1.0,0.8,40,1,1,1.0
441,1.0,0.8,41,0,0,1.0
442,1.0,0.8,42,1,0,6.077163357286273e-64
443,1.0,0.8,43,1,1,1.0
444,1.0,0.8,44,1,1,1.0
445,1.0,0.8,45,1,1,1.0
446,1.0,0.8,46,1,1,1.0
447,1.0,0.8,47,0,0,1.0
448,1.0,0.8,48,1,1,1.0
449,1.0,0.8,49,1,1,1.0
