,Gate fidelity,EPR channel fidelity,Sample index,M_Alice_1,M_Alice_2,M_Bob_1,M_Bob_2,Fidelity
307,1.0,0.6,7,1,0,1,0,1.0
308,1.0,0.6,8,1,0,1,0,0.04705882352941177
309,1.0,0.6,9,0,1,0,1,1.0
310,1.0,0.6,10,0,0,1,0,1.0
311,1.0,0.6,11,0,0,1,0,0.0
312,1.0,0.6,12,0,0,1,1,0.0
313,1.0,0.6,13,0,0,0,0,1.0
314,1.0,0.6,14,0,1,0,1,1.0
315,1.0,0.6,15,0,0,0,0,0.058823529411764705
316,1.0,0.6,16,1,1,1,1,1.0
317,1.0,0.6,17,0,0,1,1,0.8767123287671231
318,1.0,0.6,18,1,0,1,1,9.735924304324346e-64
319,1.0,0.6,19,1,0,0,0,0.9999999999999998
320,1.0,0.6,20,1,1,1,0,0.058823529411764705
321,1.0,0.6,21,0,0,0,0,1.0
322,1.0,0.6,22,1,0,0,0,0.0
323,1.0,0.6,23,1,1,1,1,1.0
324,1.0,0.6,24,0,1,1,1,0.4444444444444444
325,1.0,0.6,25,0,0,1,1,0.0
326,1.0,0.6,26,1,0,0,1,0.7619047619047619
327,1.0,0.6,27,1,0,1,0,1.0
328,1.0,0.6,28,1,0,1,1,3.418404388473529e-64
329,1.0,0.6,29,0,1,1,1,1.0
330,1.0,0.6,30,0,0,0,1,0.8
331,1.0,0.6,31,1,0,1,1,2.619264724366639e-32
332,1.0,0.6,32,0,1,0,1,-3.925231146709437e-17
333,1.0,0.6,33,0,1,0,1,1.0
334,1.0,0.6,34,0,1,0,1,0.9999999999999998
335,1.0,0.6,35,1,0,0,0,0.0
336,1.0,0.6,36,0,1,1,0,1.7333369499485116e-33
337,1.0,0.6,37,0,1,0,0,4.086061495597264e-64
338,1.0,0.6,38,0,1,0,1,1.0
339,1.0,0.6,39,0,0,0,1,0.8
340,1.0,0.6,40,0,1,1,0,9.860761315262656e-32
341,1.0,0.6,41,0,0,0,0,0.8
342,1.0,0.6,42,1,0,0,0,1.9721522630525302e-32
343,1.0,0.6,43,0,1,0,1,1.0
344,1.0,0.6,44,1,0,1,1,0.058823529411764705
345,1.0,0.6,45,0,1,1,1,0.9999999999999998
346,1.0,0.6,46,1,1,0,0,1.5407439555097887e-33
347,1.0,0.6,47,0,0,0,0,1.0
348,1.0,0.6,48,1,0,1,0,1.0
349,1.0,0.6,49,0,1,0,1,1.0
350,1.0,0.6,50,0,1,0,0,0.9999999999999997
351,1.0,0.6,51,0,1,0,1,3.6252798953171464e-34
352,1.0,0.6,52,1,0,0,1,0.0
353,1.0,0.6,53,0,1,1,1,0.0
354,1.0,0.6,54,0,1,0,1,1.0
355,1.0,0.6,55,1,1,1,1,1.0
356,1.0,0.6,56,0,0,1,1,1.5407439555097887e-33
357,1.0,0.6,57,1,1,0,0,0.047619047619047616
358,1.0,0.6,58,1,1,0,0,6.077163357286274e-64
359,1.0,0.6,59,0,1,0,1,1.0
360,1.0,0.6,60,0,0,1,1,1.5407439555097887e-33
361,1.0,0.6,61,1,1,0,0,1.5407439555097887e-33
362,1.0,0.6,62,1,0,1,0,1.0
363,1.0,0.6,63,0,1,0,1,-3.925231146709437e-17
364,1.0,0.6,64,0,1,0,1,1.0
365,1.0,0.6,65,0,1,0,1,1.0
366,1.0,0.6,66,0,1,1,1,1.0
367,1.0,0.6,67,0,0,0,0,1.0
368,1.0,0.6,68,0,0,0,0,0.0
369,1.0,0.6,69,0,0,0,1,0.8
370,1.0,0.6,70,1,1,1,0,1.604750949033406e-63
371,1.0,0.6,71,1,0,1,0,1.0
372,1.0,0.6,72,0,1,1,1,0.0
373,1.0,0.6,73,0,0,0,0,1.0
374,1.0,0.6,74,1,0,1,0,0.8000000000000002
375,1.0,0.6,75,1,1,1,0,0.9999999999999997
376,1.0,0.6,76,0,0,0,0,1.0
377,1.0,0.6,77,1,0,0,0,0.0
378,1.0,0.6,78,1,1,0,0,6.077163357286274e-64
379,1.0,0.6,79,1,1,1,1,1.0
380,1.0,0.6,80,1,0,0,0,1.0
381,1.0,0.6,81,0,0,1,1,0.0
382,1.0,0.6,82,0,0,1,1,2.3564319319561472e-32
383,1.0,0.6,83,1,1,1,1,1.0
384,1.0,0.6,84,1,1,1,0,1.604750949033406e-63
385,1.0,0.6,85,0,1,1,0,1.5407439555097887e-33
386,1.0,0.6,86,1,0,0,0,2.4532694666933983e-18
387,1.0,0.6,87,0,1,0,0,1.8160273313765612e-64
388,1.0,0.6,88,1,1,1,1,1.0
389,1.0,0.6,89,0,0,1,1,1.5407439555097887e-33
390,1.0,0.6,90,0,0,0,1,0.8
391,1.0,0.6,91,1,0,1,1,3.79822709830392e-65
392,1.0,0.6,92,0,1,1,0,1.5407439555097887e-33
393,1.0,0.6,93,1,0,0,0,0.9999999999999998
394,1.0,0.6,94,0,1,0,1,5.3203814713697404e-33
395,1.0,0.6,95,1,0,1,0,1.0
396,1.0,0.6,96,0,1,0,1,0.0
397,1.0,0.6,97,0,1,1,0,0.8
398,1.0,0.6,98,1,0,1,0,-3.925231146709437e-17
399,1.0,0.6,99,1,1,1,1,1.0
400,1.0,0.8,0,1,0,1,0,1.0
401,1.0,0.8,1,0,1,0,1,1.0
402,1.0,0.8,2,1,0,1,0,1.0
403,1.0,0.8,3,1,1,1,1,1.0
404,1.0,0.8,4,0,1,0,0,0.0
405,1.0,0.8,5,0,0,0,0,1.0
406,1.0,0.8,6,1,1,1,1,1.0
407,1.0,0.8,7,1,1,1,1,0.0
408,1.0,0.8,8,0,0,0,0,0.0
409,1.0,0.8,9,0,0,1,1,0.0
410,1.0,0.8,10,0,0,0,0,1.0
411,1.0,0.8,11,1,0,1,0,1.0
412,1.0,0.8,12,1,0,1,0,0.0
413,1.0,0.8,13,1,0,1,0,1.0
414,1.0,0.8,14,1,0,1,0,1.0
415,1.0,0.8,15,1,0,1,0,1.0
416,1.0,0.8,16,1,0,1,0,1.0
417,1.0,0.8,17,1,0,0,1,0.0
418,1.0,0.8,18,1,0,1,1,0.0
419,1.0,0.8,19,0,1,1,0,0.0
420,1.0,0.8,20,1,1,1,1,1.0
421,1.0,0.8,21,1,0,1,0,1.0
422,1.0,0.8,22,0,1,0,1,1.0
423,1.0,0.8,23,1,1,1,1,1.0
424,1.0,0.8,24,0,1,0,0,6.077163357286273e-64
425,1.0,0.8,25,0,1,1,0,0.0
426,1.0,0.8,26,1,0,1,0,1.0
427,1.0,0.8,27,0,0,0,0,1.0
428,1.0,0.8,28,1,0,1,0,1.0
429,1.0,0.8,29,1,0,1,0,1.0
430,1.0,0.8,30,1,1,1,0,6.077163357286273e-64
431,1.0,0.8,31,0,0,0,0,1.0
432,1.0,0.8,32,1,1,1,1,1.0
433,1.0,0.8,33,0,0,0,1,2.4651903288156613e-32
434,1.0,0.8,34,1,0,1,0,1.0
435,1.0,0.8,35,0,0,1,1,0.0
436,1.0,0.8,36,0,1,0,1,1.0
437,1.0,0.8,37,0,1,0,1,1.0
438,1.0,0.8,38,0,1,0,0,0.9999999999999997
439,1.0,0.8,39,0,0,0,0,1.0
440,1.0,0.8,40,1,1,1,1,1.0
441,1.0,0.8,41,0,1,1,1,1.0
442,1.0,0.8,42,0,1,0,1,1.0
443,1.0,0.8,43,0,0,0,0,1.0
444,1.0,0.8,44,1,0,0,0,0.0
